id,product_name,text_preview
59,[Text] 四季春茶王,"當午後的光線變得柔軟，就讓一杯花香，慢慢展開
玫瑰水
清透順口、輕柔不膩，細緻的玫瑰香氣，
在入口之"
61,[Text] 玫瑰水,"當午後的光線變得柔軟，就讓一杯花香，慢慢展開
玫瑰水
清透順口、輕柔不膩，細緻的玫瑰香氣，
在入口之"
63,[Text] 太妃蜜桃風味厚奶霜,"期間限定！消失的驚喜味道，1/17 日起限定回歸
還記得那口驚艷味蕾、帶有迷人香草氣息的「金杯烏瓦系"
66,[Text] 四季春茶王,"山嵐間的花香與回甘，是被米其林記住的味道
什麼樣的茶，能讓國際評審點頭認證？
從台灣優質茶園出發，茶"
67,[Text] 烏龍綠茶,"【厚雪奶蓋系列 新品上市 #指定門市 試賣中】
口感綿密，像雪一樣輕柔的「厚雪奶蓋」
讓人忍不住一口"
68,[Text] 頂級可可,"【厚雪奶蓋系列 新品上市 #指定門市 試賣中】
口感綿密，像雪一樣輕柔的「厚雪奶蓋」
讓人忍不住一口"
69,[Text] 厚雪奶蓋,"【厚雪奶蓋系列 新品上市 #指定門市 試賣中】
口感綿密，像雪一樣輕柔的「厚雪奶蓋」
讓人忍不住一口"
70,[Text] 珍珠奶茶,"告別 2025・迎接嶄新的一年
清心福全陪你一起倒數，用熟悉的好味道迎接全新的開始
【跨年必喝】優惠"
71,[Text] 椰果奶茶,"告別 2025・迎接嶄新的一年
清心福全陪你一起倒數，用熟悉的好味道迎接全新的開始
【跨年必喝】優惠"
72,[Text] 錫蘭奶紅,"告別 2025・迎接嶄新的一年
清心福全陪你一起倒數，用熟悉的好味道迎接全新的開始
【跨年必喝】優惠"
73,[Text] 奶茶,"告別 2025・迎接嶄新的一年
清心福全陪你一起倒數，用熟悉的好味道迎接全新的開始
【跨年必喝】優惠"
74,[Text] 白韻杏仁頂級可可,"冷氣團來襲，低溫拉警報，不想離開被窩就來杯能把冬天融化的「杏福滋味」吧！
冬季新品【白韻杏仁系列】純"
75,[Text] 白韻杏仁鮮奶,"冷氣團來襲，低溫拉警報，不想離開被窩就來杯能把冬天融化的「杏福滋味」吧！
冬季新品【白韻杏仁系列】純"
76,[Text] 白韻杏仁奶,"冷氣團來襲，低溫拉警報，不想離開被窩就來杯能把冬天融化的「杏福滋味」吧！
冬季新品【白韻杏仁系列】純"
77,[Text] 頂級可可,"冷氣團來襲，低溫拉警報，不想離開被窩就來杯能把冬天融化的「杏福滋味」吧！
冬季新品【白韻杏仁系列】純"
78,[Text] 珍珠琥珀黑糖鮮奶,"別讓冷空氣覆蓋了你的好精神，冬季新品上市，品嘗杏福滋味～
冬季新品【白韻杏仁系列】純淨的白更韻涵典雅"
79,[Text] 白韻杏仁頂級可可,"別讓冷空氣覆蓋了你的好精神，冬季新品上市，品嘗杏福滋味～
冬季新品【白韻杏仁系列】純淨的白更韻涵典雅"
80,[Text] 白韻杏仁奶,"別讓冷空氣覆蓋了你的好精神，冬季新品上市，品嘗杏福滋味～
冬季新品【白韻杏仁系列】純淨的白更韻涵典雅"
81,[Text] 桂圓鮮奶茶,"別讓冷空氣覆蓋了你的好精神，冬季新品上市，品嘗杏福滋味～
冬季新品【白韻杏仁系列】純淨的白更韻涵典雅"
82,[Text] 頂級可可,"別讓冷空氣覆蓋了你的好精神，冬季新品上市，品嘗杏福滋味～
冬季新品【白韻杏仁系列】純淨的白更韻涵典雅"
83,[Text] 茉綠茶凍拿鐵,"清心福全×變種吉娃娃 
連假超吉美食推薦
連假少不了的吃吃喝喝，「超吉」搭配超過癮！
吉凍套餐：脆皮"
84,[Text] 荔枝蘋果醋,"#雙十節快樂 十月連假第二彈
又是一個三天連假，千萬別把好時光蹉跎掉了，
來杯清心福全的 #荔枝蘋果"
85,[Text] 蘋果醋,"#雙十節快樂 十月連假第二彈
又是一個三天連假，千萬別把好時光蹉跎掉了，
來杯清心福全的 #荔枝蘋果"
86,[Text] 珍珠琥珀黑糖鮮奶,"謝謝老師的用心教誨，在特別的日子裡加碼作業，
來杯
大人的滋味 #咖啡凍奶茶，苦甜苦甜才是人生。 
"
87,[Text] 咖啡凍奶茶,"謝謝老師的用心教誨，在特別的日子裡加碼作業，
來杯
大人的滋味 #咖啡凍奶茶，苦甜苦甜才是人生。 
"
88,[Text] 奶茶,"謝謝老師的用心教誨，在特別的日子裡加碼作業，
來杯
大人的滋味 #咖啡凍奶茶，苦甜苦甜才是人生。 
"
89,[Text] 珍珠蜂蜜鮮奶普洱,"#隱藏版 (珍珠蜂蜜鮮奶普洱) 甜而不膩～給你滿滿好心情
讓清心飲料＆變種吉娃娃陪你收穫好成績！！
"
90,[Text] 蜜桃凍紅茶,"這個夏天超吉喜歡喝涼涼的飲料～～
香甜清爽的 #柳橙綠、 甜Q 爽口的 #蜜桃凍紅茶、 酸甜活力的 "
91,[Text] 柳橙綠,"這個夏天超吉喜歡喝涼涼的飲料～～
香甜清爽的 #柳橙綠、 甜Q 爽口的 #蜜桃凍紅茶、 酸甜活力的 "
92,[Text] 粉戀莓莓,"520 「莓」你不行的戀愛滋味
#粉戀莓莓 像是她微笑時的甜
#情人茶 像戀愛一樣清爽又讓人心動
清"
93,[Text] 情人茶,"520 「莓」你不行的戀愛滋味
#粉戀莓莓 像是她微笑時的甜
#情人茶 像戀愛一樣清爽又讓人心動
清"
94,[Text] 香芋仙草綠茶拿鐵,"涼涼的天適合暖暖的那一杯
法芙娜可可鮮奶｜𝟭𝟬𝟬%法芙娜可可粉，入口滑順
冬天，就該給自己一杯迷客夏"
95,[Text] 法芙娜可可鮮奶,"涼涼的天適合暖暖的那一杯
法芙娜可可鮮奶｜𝟭𝟬𝟬%法芙娜可可粉，入口滑順
冬天，就該給自己一杯迷客夏"
96,[Text] 靜岡焙焙鮮奶,"涼涼的天適合暖暖的那一杯
法芙娜可可鮮奶｜𝟭𝟬𝟬%法芙娜可可粉，入口滑順
冬天，就該給自己一杯迷客夏"
97,[Text] 茉莉原淬綠茶,"𝟭月份雙週限定驚喜 𝗽𝗮𝗿𝘁 𝟮
你的迷客夏新春大禮包第二彈來襲
𝟭/𝟮𝟭 (三)~𝟮/𝟯(二)
<"
98,[Text] 茉香綠茶拿鐵,"𝟭月份雙週限定驚喜
第一彈
你的迷客夏新春大禮包已送達
即日起~𝟭/𝟮𝟬(二)
<門市現場購買>任𝟮"
99,[需人工確認] 圖片限定或無飲品,"手裡拿的是哪一杯最愛的迷客夏？  
快在下方用「表情符號」投出你的最愛 
看看哪一派粉絲軍團最強大！"
100,[Text] 珍珠大正紅茶拿鐵,"快看你的迷客夏必喝有沒有上榜！
𝗧𝗢𝗣𝟭 #珍珠大正紅茶拿鐵
拿起你最愛的那杯，一起看年度旁行榜
 "
101,[Text] 原片初露青茶,"快看你的迷客夏必喝有沒有上榜！
𝗧𝗢𝗣𝟭 #珍珠大正紅茶拿鐵
拿起你最愛的那杯，一起看年度旁行榜
 "
102,[Text] 伯爵紅茶拿鐵,"快看你的迷客夏必喝有沒有上榜！
𝗧𝗢𝗣𝟭 #珍珠大正紅茶拿鐵
拿起你最愛的那杯，一起看年度旁行榜
 "
103,[Text] 輕纖蕎麥茶,"快看你的迷客夏必喝有沒有上榜！
𝗧𝗢𝗣𝟭 #珍珠大正紅茶拿鐵
拿起你最愛的那杯，一起看年度旁行榜
 "
104,[Text] 鎮店之寶,"快看你的迷客夏必喝有沒有上榜！
𝗧𝗢𝗣𝟭 #珍珠大正紅茶拿鐵
拿起你最愛的那杯，一起看年度旁行榜
 "
105,[Text] 法芙娜可可鮮奶,"快看你的迷客夏必喝有沒有上榜！
𝗧𝗢𝗣𝟲 #手炒黑糖鮮奶
拿起你最愛的那杯，一起看年度排行榜  ht"
106,[Text] 琥珀高峰烏龍,"快看你的迷客夏必喝有沒有上榜！
𝗧𝗢𝗣𝟲 #手炒黑糖鮮奶
拿起你最愛的那杯，一起看年度排行榜  ht"
107,[Text] 手炒黑糖鮮奶,"快看你的迷客夏必喝有沒有上榜！
𝗧𝗢𝗣𝟲 #手炒黑糖鮮奶
拿起你最愛的那杯，一起看年度排行榜  ht"
108,[Text] 靜岡焙焙鮮奶,"快看你的迷客夏必喝有沒有上榜！
𝗧𝗢𝗣𝟲 #手炒黑糖鮮奶
拿起你最愛的那杯，一起看年度排行榜  ht"
109,[Text] 茉莉原淬綠茶,"快看你的迷客夏必喝有沒有上榜！
𝗧𝗢𝗣𝟲 #手炒黑糖鮮奶
拿起你最愛的那杯，一起看年度排行榜  ht"
110,[Text] 靜岡焙焙鮮奶,"𝟭𝟮/𝟮𝟰、𝟭𝟮/𝟮𝟱
\齁齁齁~~聖誕加「焙」幸福已抵達
/
門市現場購買 #𝟮杯靜岡焙焙鮮奶 ("
111,[Text] 香芋仙草綠茶拿鐵,"一起收藏最療癒的冬季 𝗧𝗢𝗣 清單！
𝗧𝗢𝗣𝟭 #靜岡焙焙鮮奶
冬日療癒，「焙」感幸福
嚴選自靜岡的"
112,[Text] 珍珠大正紅茶拿鐵,"一起收藏最療癒的冬季 𝗧𝗢𝗣 清單！
𝗧𝗢𝗣𝟭 #靜岡焙焙鮮奶
冬日療癒，「焙」感幸福
嚴選自靜岡的"
113,[Text] 法芙娜可可鮮奶,"一起收藏最療癒的冬季 𝗧𝗢𝗣 清單！
𝗧𝗢𝗣𝟭 #靜岡焙焙鮮奶
冬日療癒，「焙」感幸福
嚴選自靜岡的"
114,[Text] 琥珀烏龍拿鐵,"一起收藏最療癒的冬季 𝗧𝗢𝗣 清單！
𝗧𝗢𝗣𝟭 #靜岡焙焙鮮奶
冬日療癒，「焙」感幸福
嚴選自靜岡的"
115,[Text] 靜岡焙焙鮮奶,"一起收藏最療癒的冬季 𝗧𝗢𝗣 清單！
𝗧𝗢𝗣𝟭 #靜岡焙焙鮮奶
冬日療癒，「焙」感幸福
嚴選自靜岡的"
116,[Text] 靜岡焙焙烏龍拿鐵,"大家敲破碗的 #冬季限定 人氣飲品回歸啦！
靜岡焙焙鮮奶、靜岡焙焙烏龍拿鐵 濃郁登場
嚴選靜岡製茶名"
117,[Text] 琥珀高峰烏龍茶,"大家敲破碗的 #冬季限定 人氣飲品回歸啦！
靜岡焙焙鮮奶、靜岡焙焙烏龍拿鐵 濃郁登場
嚴選靜岡製茶名"
118,[Text] 法芙娜可可鮮奶,"大家敲破碗的 #冬季限定 人氣飲品回歸啦！
靜岡焙焙鮮奶、靜岡焙焙烏龍拿鐵 濃郁登場
嚴選靜岡製茶名"
119,[Text] 靜岡焙焙鮮奶,"大家敲破碗的 #冬季限定 人氣飲品回歸啦！
靜岡焙焙鮮奶、靜岡焙焙烏龍拿鐵 濃郁登場
嚴選靜岡製茶名"
120,[Text] 綠光鮮奶,"大家敲破碗的 #冬季限定 人氣飲品回歸啦！
靜岡焙焙鮮奶、靜岡焙焙烏龍拿鐵 濃郁登場
嚴選靜岡製茶名"
121,[Text] 娜杯桂香拿鐵,"\首款花香基調 —「桂香茶境」𝟭𝟭/𝟱 桂香四溢/
花香與茶香的邂逅
#娜杯桂香拿鐵
花香、茶香、奶"
122,[Text] 桂香輕蕎麥,"\首款花香基調 —「桂香茶境」𝟭𝟭/𝟱 桂香四溢/
花香與茶香的邂逅
#娜杯桂香拿鐵
花香、茶香、奶"
123,[Text] 桂香原片青,"\首款花香基調 —「桂香茶境」𝟭𝟭/𝟱 桂香四溢/
花香與茶香的邂逅
#娜杯桂香拿鐵
花香、茶香、奶"
124,[需人工確認] 圖片限定或無飲品,"過年送什麼，才不會被放在角落？
懂喝的人都知道——答案是這包
邁入第 𝟱 年 #COMEBUY 持續"
125,[Rescued] 黑糖的香,"把看似平凡的事做到不平凡
才是真正的高度
世界級的舞台
來自每天不妥協的基本功
就像 #COMEBU"
126,[Text] 沖繩黑糖奶茶,"跨年夜一定要來點「咀嚼系幸福」(〃∀〃)
今年最後一杯＆新年第一杯——
#COMEBUY #沖繩黑糖"
127,[Text] 雙Q,"跨年夜一定要來點「咀嚼系幸福」(〃∀〃)
今年最後一杯＆新年第一杯——
#COMEBUY #沖繩黑糖"
128,[Text] 沖繩黑糖奶綠,"今天就讓一杯暖甜的 #沖繩黑糖系列
陪你一起度過最閃亮的節日吧～
透過完美比例與台灣黑糖蔗香融合
焦"
129,[Text] 沖繩黑糖奶茶,"今天就讓一杯暖甜的 #沖繩黑糖系列
陪你一起度過最閃亮的節日吧～
透過完美比例與台灣黑糖蔗香融合
焦"
130,[Text] 黑糖港式厚奶,"今天就讓一杯暖甜的 #沖繩黑糖系列
陪你一起度過最閃亮的節日吧～
透過完美比例與台灣黑糖蔗香融合
焦"
131,[Text] 黑糖紅茶拿鐵,"今天就讓一杯暖甜的 #沖繩黑糖系列
陪你一起度過最閃亮的節日吧～
透過完美比例與台灣黑糖蔗香融合
焦"
132,[Text] 港式厚奶,"今天就讓一杯暖甜的 #沖繩黑糖系列
陪你一起度過最閃亮的節日吧～
透過完美比例與台灣黑糖蔗香融合
焦"
133,[Text] 沖繩黑糖奶綠,"\\ 期盼の新品來了 //
熬煮香氣升級的【沖繩黑糖系列】全新上市
喝一口就知道——這次真的很可以 "
134,[Text] 沖繩黑糖奶茶,"\\ 期盼の新品來了 //
熬煮香氣升級的【沖繩黑糖系列】全新上市
喝一口就知道——這次真的很可以 "
135,[Text] 黑糖港式厚奶,"\\ 期盼の新品來了 //
熬煮香氣升級的【沖繩黑糖系列】全新上市
喝一口就知道——這次真的很可以 "
136,[Text] 黑糖紅茶拿鐵,"\\ 期盼の新品來了 //
熬煮香氣升級的【沖繩黑糖系列】全新上市
喝一口就知道——這次真的很可以 "
138,[Text] 小葉紅奶茶,"\ 葉~~~~~~~~真的回來了.ᐟ.ᐟ /
國際連鎖品牌中 #COMEBUY 全球首賣
限量嫩採的"
139,[Text] 小葉紅拿鐵,"\ 葉~~~~~~~~真的回來了.ᐟ.ᐟ /
國際連鎖品牌中 #COMEBUY 全球首賣
限量嫩採的"
140,[Text] 小葉紅茶,"\ 葉~~~~~~~~真的回來了.ᐟ.ᐟ /
國際連鎖品牌中 #COMEBUY 全球首賣
限量嫩採的"
141,[Text] 四季春,"\ 葉~~~~~~~~真的回來了.ᐟ.ᐟ /
國際連鎖品牌中 #COMEBUY 全球首賣
限量嫩採的"
143,[Text] 玩火,"萬聖節最「火」裝扮出爐
南瓜人都來 #COMEBUY 報到啦
玩火不只好喝～還能當配件（誤
）
擁有"
144,[Text] 玩火玩火奶茶,"中秋節不只要烤肉
更要 #玩火
一家烤肉萬家香
一杯 #現萃 超沁爽.ᐟ.ᐟ
嚴選甘甜煎茶與清香烏龍"
145,[Text] 纖萃玩火奶茶,"中秋節不只要烤肉
更要 #玩火
一家烤肉萬家香
一杯 #現萃 超沁爽.ᐟ.ᐟ
嚴選甘甜煎茶與清香烏龍"
146,[Text] 玩火奶茶,"中秋節不只要烤肉
更要 #玩火
一家烤肉萬家香
一杯 #現萃 超沁爽.ᐟ.ᐟ
嚴選甘甜煎茶與清香烏龍"
147,[Text] 玩火,"中秋節不只要烤肉
更要 #玩火
一家烤肉萬家香
一杯 #現萃 超沁爽.ᐟ.ᐟ
嚴選甘甜煎茶與清香烏龍"
148,[Text] 玩火奶茶,"沒時間飛
就喝這杯
外面找不到的獨特風味——
喝一口彷彿置身❝熱帶❞島嶼
#玩火 $𝟰𝟱(𝗟)
建議"
149,[Text] 玩火,"沒時間飛
就喝這杯
外面找不到的獨特風味——
喝一口彷彿置身❝熱帶❞島嶼
#玩火 $𝟰𝟱(𝗟)
建議"
150,[Text] 蘋果紅萱,"茶香遇上果香的溫柔調性，
是日常裡隨手可得的療癒感。
透亮的琥珀茶湯、伴隨自然柔和的蘋果香，
不論是"
151,[Text] 普洱咖啡奶茶,"普洱咖啡奶茶、普洱咖啡鮮乳
今日上市
呈現秋冬限定新品
碎銀普洱厚韻×義式濃醇咖啡
交織出溫暖成熟的"
152,[Text] 普洱,"普洱咖啡奶茶、普洱咖啡鮮乳
今日上市
呈現秋冬限定新品
碎銀普洱厚韻×義式濃醇咖啡
交織出溫暖成熟的"
154,[Text] 普洱咖啡奶茶,"龜記茗品×  樂步le brewlife
當茶遇上咖啡，碰撞出這個秋冬最獨特的香氣
龜記攜手不斷挑戰"
155,[Text] 普洱,"龜記茗品×  樂步le brewlife
當茶遇上咖啡，碰撞出這個秋冬最獨特的香氣
龜記攜手不斷挑戰"
157,[Text] 蜂蜜花沫烏龍,"中秋烤肉聚會多
就是清爽的飲料該登場的時候
10/3 (五)~10/6（一）
中秋節限定活動，
購買"
158,[Text] 花沫烏龍,"中秋烤肉聚會多
就是清爽的飲料該登場的時候
10/3 (五)~10/6（一）
中秋節限定活動，
購買"
160,[Text] 三十三茶王,"荔枝茶王今日上市
-
荔枝果肉＋茶王茶湯＝完美組合
季節限定不要錯過٩꒰｡•◡•｡꒱۶
一起夏末的微"
161,[Text] 星桃樂翡翠,"召喚神龍的時刻到來！
龜記推出夏季聯名限定補氣飲品：『星桃樂翡翠』
加入功夫茶清爽芭樂果泥與龜記古早"
162,[Text] 紅柚翡翠,"龜蜜相揪過端午
限時優惠別錯過
- 
𝟓 / 𝟑𝟎 ( 五 ) ～ 𝟔 / 𝟏 ( 日 )
⋯紅柚翡"
163,[Text] 巨峰葡薈青,"巨峰葡薈青⋯𝟓/𝟏 上市.* ﾟ
魅力新品、炫風來襲！
限量販售
錯過不薈來
融合四季春青茶＋巨峰葡"
